Filename latitude longitude altitude roll[deg] pitch[deg] yaw[deg] accLon accLat accAlt tT 
DSC00917.JPG 52.206900850 21.265737364 322.733612061 -0.74 -6.5 232.22 1 1 1 7:37:23.199
DSC00918.JPG 52.206559179 21.266156320 324.383697510 -22.31 7.71 152.8 1 1 1 7:37:25.419
DSC00919.JPG 52.206230273 21.266572288 324.764404297 2.83 7.22 139.47 1 1 1 7:37:27.619
DSC00920.JPG 52.205862503 21.266909951 324.658599854 9.25 3.86 151.94 1 1 1 7:37:29.819
DSC00921.JPG 52.205497983 21.267256607 325.079101563 -3.28 4.89 158.49 1 1 1 7:37:32.019
DSC00922.JPG 52.205129087 21.267607835 325.933807373 3.2 3.55 154.46 0.1 0.1 0.1 7:37:34.219
DSC00923.JPG 52.204753839 21.267942978 325.097198486 0.34 3.33 159.23 0.1 0.1 0.1 7:37:36.419
DSC00924.JPG 52.204372461 21.268295309 324.275390625 -1.43 4.73 158.18 0.1 0.1 0.1 7:37:38.619
DSC00925.JPG 52.203996587 21.268651186 324.541290283 0.52 5.76 155.57 0.1 0.1 0.1 7:37:40.819
DSC00926.JPG 52.203626783 21.268989870 324.561614990 0.65 5.61 154.36 0.1 0.1 0.1 7:37:43.019
DSC00927.JPG 52.203251732 21.269322783 325.316314697 2.82 5.52 160.18 0.1 0.1 0.1 7:37:45.219
DSC00928.JPG 52.202880564 21.269686801 327.151397705 -1.72 2.45 157.63 0.1 0.1 0.1 7:37:47.418
DSC00929.JPG 52.202501419 21.270055840 328.341094971 3.75 1.32 152.89 0.1 0.1 0.1 7:37:49.619
DSC00930.JPG 52.202126815 21.270381969 328.408294678 3.41 3.55 154.77 0.1 0.1 0.1 7:37:51.819
DSC00931.JPG 52.201751427 21.270714204 327.594604492 -1.09 -0.04 160.79 0.1 0.1 0.1 7:37:54.019
DSC00932.JPG 52.201378300 21.271064080 324.931396484 -0.2 2.47 156.11 0.1 0.1 0.1 7:37:56.219
DSC00933.JPG 52.200989027 21.271428867 321.726898193 1.43 1.85 153.59 0.1 0.1 0.1 7:37:58.419
DSC00934.JPG 52.200585118 21.271737402 319.569488525 -0.25 5.71 154.36 0.1 0.1 0.1 7:38:0.619
DSC00935.JPG 52.200238291 21.271407667 318.427398682 46.19 5.1 190.86 0.1 0.1 0.1 7:38:3.619
DSC00936.JPG 52.200549754 21.270997136 322.583709717 39.57 8.93 293.95 0.1 0.1 0.1 7:38:9.199
DSC00937.JPG 52.200924889 21.270672647 322.375000000 0.63 6.67 326.31 0.1 0.1 0.1 7:38:14.599
DSC00938.JPG 52.201294453 21.270328693 322.667297363 -0.09 7.77 323.56 0.1 0.1 0.1 7:38:19.799
DSC00939.JPG 52.201671376 21.269982707 322.320495605 -0.43 6.79 324.5 0.1 0.1 0.1 7:38:24.599
DSC00940.JPG 52.202038087 21.269642294 322.983093262 -1.33 7.44 324.8 0.1 0.1 0.1 7:38:28.999
DSC00941.JPG 52.202406404 21.269296510 324.747192383 -2.27 7.99 321.99 0.1 0.1 0.1 7:38:33.399
DSC00942.JPG 52.202776832 21.268956305 326.966308594 -1.78 6.01 325.03 0.1 0.1 0.1 7:38:37.999
DSC00943.JPG 52.203135933 21.268614749 325.993408203 -0.91 5.24 324.44 1 1 1 7:38:42.399
DSC00944.JPG 52.203505809 21.268297927 324.174591064 2.24 5.07 325.71 1 1 1 7:38:46.799
DSC00945.JPG 52.203876665 21.267931401 322.491699219 -3.04 6.28 325.45 1 1 1 7:38:51.199
DSC00946.JPG 52.204253178 21.267604670 323.538787842 2.17 6.97 323.85 1 1 1 7:38:55.399
DSC00947.JPG 52.204617683 21.267282387 326.501190186 -0.9 6.61 320.47 1 1 1 7:38:59.599
DSC00948.JPG 52.204976935 21.266916055 328.266510010 -5.55 2.51 313.16 1 1 1 7:39:3.799
DSC00949.JPG 52.205340172 21.266564372 325.891296387 1.34 3.23 319.96 1 1 1 7:39:8.199
DSC00950.JPG 52.205717163 21.266242611 325.873809814 7.03 2.63 314.08 1 1 1 7:39:12.599
DSC00951.JPG 52.206082694 21.265897678 322.623992920 -0.68 0.33 324.94 1 1 1 7:39:17.399
DSC00952.JPG 52.206425412 21.265513152 319.993408203 -0.76 1.24 319.59 1 1 1 7:39:21.999
DSC00953.JPG 52.206795933 21.265204160 320.874786377 6.51 6.27 318.55 1 1 1 7:39:26.219
